date,price,quantity,product
07/01/2025,90,150,Widget-A
07/02/2025,92,145,Widget-A
07/03/2025,95,138,Widget-A
07/04/2025,98,130,Widget-A
07/05/2025,100,125,Widget-A
07/06/2025,102,120,Widget-A
07/07/2025,105,112,Widget-A
07/08/2025,108,105,Widget-A
07/09/2025,110,100,Widget-A
07/10/2025,112,95,Widget-A
07/11/2025,115,88,Widget-A
07/12/2025,118,82,Widget-A
07/13/2025,120,78,Widget-A
07/14/2025,122,72,Widget-A
07/15/2025,125,65,Widget-A
07/16/2025,128,60,Widget-A
07/17/2025,130,55,Widget-A
07/18/2025,132,52,Widget-A
07/19/2025,135,48,Widget-A
07/20/2025,138,44,Widget-A
07/21/2025,140,40,Widget-A
07/22/2025,142,38,Widget-A
07/23/2025,145,35,Widget-A
07/24/2025,148,32,Widget-A
07/25/2025,150,30,Widget-A
